method,regime,num_cycles,density,samp_size,seed,d,num_nodes,threshold,ari_scc,fscore,var_precision,var_recall,var_fscore,var_shd,inter_scc_precision,inter_scc_recall,inter_scc_fscore,chosen_threshold,chosen_beta,bic_score,runtime_sec,num_sccs,max_scc_size,num_nontrivial,frac_nontrivial,has_cycles,num_parts_est
disjointcycles,hard,5,0.5,100,2,20,20,,0.0,0.0,1.0,0.0,0.0,108,1.0,0.0,0.0,,,,0.2222041129134595,10,4,5,0.75,1,20
disjointcycles,hard,5,0.5,100,3,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,0.1942280831281095,9,4,5,0.8,1,20
disjointcycles,hard,5,0.5,100,4,20,20,,0.0,0.0,1.0,0.0,0.0,98,1.0,0.0,0.0,,,,0.2081301619764417,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,100,5,20,20,,0.0,0.0,1.0,0.0,0.0,113,1.0,0.0,0.0,,,,0.2461578529328107,10,5,5,0.75,1,20
disjointcycles,hard,5,0.5,100,6,20,20,,0.0,0.0,1.0,0.0,0.0,96,1.0,0.0,0.0,,,,0.2119556050747633,9,5,5,0.8,1,20
disjointcycles,hard,5,0.5,100,7,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,0.2097224970348179,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,100,8,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,0.2090552588924765,7,6,5,0.9,1,20
disjointcycles,hard,5,0.5,100,9,20,20,,0.0,0.0,1.0,0.0,0.0,93,1.0,0.0,0.0,,,,0.1916325590573251,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,500,0,20,20,,0.0,0.0,1.0,0.0,0.0,101,1.0,0.0,0.0,,,,0.2506932290270924,13,3,5,0.6,1,20
disjointcycles,hard,5,0.5,500,1,20,20,,0.0,0.0,1.0,0.0,0.0,104,1.0,0.0,0.0,,,,0.2328248049598187,9,6,5,0.8,1,20
disjointcycles,hard,5,0.5,500,2,20,20,,0.0,0.0,1.0,0.0,0.0,108,1.0,0.0,0.0,,,,0.3009083401411772,10,4,5,0.75,1,20
disjointcycles,hard,5,0.5,500,3,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,0.2589351660571992,9,4,5,0.8,1,20
disjointcycles,hard,5,0.5,500,4,20,20,,0.0,0.0,1.0,0.0,0.0,98,1.0,0.0,0.0,,,,0.2595784640870988,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,500,5,20,20,,0.0,0.0,1.0,0.0,0.0,113,1.0,0.0,0.0,,,,0.2722961681429297,10,5,5,0.75,1,20
disjointcycles,hard,5,0.5,500,6,20,20,,0.0,0.0,1.0,0.0,0.0,96,1.0,0.0,0.0,,,,0.2319051420781761,9,5,5,0.8,1,20
disjointcycles,hard,5,0.5,500,7,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,0.2513735180255025,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,500,8,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,0.2394796700682491,7,6,5,0.9,1,20
disjointcycles,hard,5,0.5,500,9,20,20,,0.0,0.0,1.0,0.0,0.0,93,1.0,0.0,0.0,,,,0.2438682580832392,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,1000,0,20,20,,0.0,0.0,1.0,0.0,0.0,101,1.0,0.0,0.0,,,,1.2985024210065603,13,3,5,0.6,1,20
disjointcycles,hard,5,0.5,1000,1,20,20,,0.0,0.0,1.0,0.0,0.0,104,1.0,0.0,0.0,,,,1.118389207869768,9,6,5,0.8,1,20
disjointcycles,hard,5,0.5,1000,2,20,20,,0.0,0.0,1.0,0.0,0.0,108,1.0,0.0,0.0,,,,1.276736256899312,10,4,5,0.75,1,20
disjointcycles,hard,5,0.5,1000,3,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,1.1906771841458976,9,4,5,0.8,1,20
disjointcycles,hard,5,0.5,1000,4,20,20,,0.0,0.0,1.0,0.0,0.0,98,1.0,0.0,0.0,,,,1.241469972068444,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,1000,5,20,20,,0.0,0.0,1.0,0.0,0.0,113,1.0,0.0,0.0,,,,1.2604263799730688,10,5,5,0.75,1,20
disjointcycles,hard,5,0.5,1000,6,20,20,,0.0,0.0,1.0,0.0,0.0,96,1.0,0.0,0.0,,,,1.2211190208327023,9,5,5,0.8,1,20
