regime,n,seed,ica_runtime_sec,W_hash,method,draw,status,selection_runtime_sec,total_runtime_sec,ari,exact,partition_exact,threshold_w_used,enumeration_cap_hit,enumeration_timed_out,chosen_is_stable,enumeration_runtime_sec,enumeration_rounds,n_candidates_enumerated,n_stable_candidates,permutation_admissible,min_abs_selected_diagonal
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,arbitrary_control,3,ok,2.7958012651652098e-05,0.017825166054535657,0.0,0.0,0.0,,False,False,,,,,,False,0.0012466951220917255
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,arbitrary_control,4,ok,2.512504579499364e-05,0.017822333087679,0.0,0.0,0.0,,False,False,,,,,,False,5.0553589659356745e-05
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,ours,0,ok,4.3791020289063454e-05,0.01784099906217307,1.0,1.0,1.0,0.1,False,False,,,,,,,
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,enum_first_stable,0,ok,0.016096750972792506,0.03389395901467651,1.0,1.0,1.0,0.1,False,False,True,0.016094834019895643,"[{'threshold': 0.1, 'n_candidates_enumerated': 288, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",288.0,1.0,,
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,enum_uniform_random,0,ok,0.016167959023732692,0.0339651670656167,1.0,1.0,1.0,0.1,False,False,False,0.016094834019895643,"[{'threshold': 0.1, 'n_candidates_enumerated': 288, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",288.0,1.0,,
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,enum_uniform_random,1,ok,0.016113125020638108,0.03391033306252211,0.6945337620578779,0.0,0.0,0.1,False,False,False,0.016094834019895643,"[{'threshold': 0.1, 'n_candidates_enumerated': 288, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",288.0,1.0,,
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,enum_uniform_random,2,ok,0.016107542032841593,0.0339047500747256,0.6945337620578779,0.0,0.0,0.1,False,False,False,0.016094834019895643,"[{'threshold': 0.1, 'n_candidates_enumerated': 288, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",288.0,1.0,,
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,enum_uniform_random,3,ok,0.016106459021102637,0.03390366706298664,1.0,1.0,1.0,0.1,False,False,False,0.016094834019895643,"[{'threshold': 0.1, 'n_candidates_enumerated': 288, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",288.0,1.0,,
hard,10000,2,0.017797208041884005,f3773e4d1c21ede60beaad68883f0866e3952a9cf6279c88609c4a61cd0cb0af,enum_uniform_random,4,ok,0.016105417045764625,0.03390262508764863,1.0,1.0,1.0,0.1,False,False,False,0.016094834019895643,"[{'threshold': 0.1, 'n_candidates_enumerated': 288, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",288.0,1.0,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,ours,0,ok,4.979199729859829e-05,0.0178194580366835,1.0,1.0,1.0,0.1,False,False,,,,,,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,enum_first_stable,0,ok,0.19984670798294246,0.21761637402232736,1.0,1.0,1.0,0.1,False,False,True,0.1998369579669088,"[{'threshold': 0.1, 'n_candidates_enumerated': 1920, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1920.0,1.0,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,enum_uniform_random,0,ok,0.19987454096553847,0.21764420700492337,1.0,0.0,1.0,0.1,False,False,False,0.1998369579669088,"[{'threshold': 0.1, 'n_candidates_enumerated': 1920, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1920.0,1.0,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,enum_uniform_random,1,ok,0.19985987496329471,0.21762954100267962,1.0,1.0,1.0,0.1,False,False,False,0.1998369579669088,"[{'threshold': 0.1, 'n_candidates_enumerated': 1920, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1920.0,1.0,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,enum_uniform_random,2,ok,0.1998525409726426,0.2176222070120275,1.0,1.0,1.0,0.1,False,False,False,0.1998369579669088,"[{'threshold': 0.1, 'n_candidates_enumerated': 1920, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1920.0,1.0,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,enum_uniform_random,3,ok,0.1998515409650281,0.217621207004413,1.0,1.0,1.0,0.1,False,False,False,0.1998369579669088,"[{'threshold': 0.1, 'n_candidates_enumerated': 1920, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1920.0,1.0,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,enum_uniform_random,4,ok,0.1998505409574136,0.21762020699679852,1.0,1.0,1.0,0.1,False,False,False,0.1998369579669088,"[{'threshold': 0.1, 'n_candidates_enumerated': 1920, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1920.0,1.0,,
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,arbitrary_control,0,ok,4.370900569483638e-05,0.017813375045079738,0.024390243902439025,0.0,0.0,,False,False,,,,,,False,0.00046632900371246276
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,arbitrary_control,1,ok,4.208303289487958e-05,0.01781174907227978,0.0,0.0,0.0,,False,False,,,,,,False,0.0001913261085687151
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,arbitrary_control,2,ok,5.3499999921768904e-05,0.01782316603930667,0.0,0.0,0.0,,False,False,,,,,,False,0.0025685099007213743
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,arbitrary_control,3,ok,2.9749993700534105e-05,0.017799416033085436,0.024390243902439025,0.0,0.0,,False,False,,,,,,False,6.394583748523768e-05
hard,10000,3,0.0177696660393849,3172eca50ed0fa24d6965140c671bd9326ee2b722046f4ef32ab778fe4637a5d,arbitrary_control,4,ok,2.6250025257468224e-05,0.01779591606464237,0.0,0.0,0.0,,False,False,,,,,,False,0.0013655875492321959
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,enum_first_stable,0,ok,19.29787954100175,19.312726665986702,1.0,1.0,1.0,0.1,False,False,True,19.297876166005153,"[{'threshold': 0.1, 'n_candidates_enumerated': 144, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",144.0,1.0,,
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,enum_uniform_random,0,ok,19.29792104102671,19.312768166011665,1.0,1.0,1.0,0.1,False,False,False,19.297876166005153,"[{'threshold': 0.1, 'n_candidates_enumerated': 144, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",144.0,1.0,,
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,enum_uniform_random,1,ok,19.2978968739626,19.312743998947553,1.0,1.0,1.0,0.1,False,False,False,19.297876166005153,"[{'threshold': 0.1, 'n_candidates_enumerated': 144, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",144.0,1.0,,
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,enum_uniform_random,2,ok,19.297888206958305,19.31273533194326,1.0,1.0,1.0,0.1,False,False,False,19.297876166005153,"[{'threshold': 0.1, 'n_candidates_enumerated': 144, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",144.0,1.0,,
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,enum_uniform_random,3,ok,19.297887457010802,19.312734581995755,1.0,1.0,1.0,0.1,False,False,False,19.297876166005153,"[{'threshold': 0.1, 'n_candidates_enumerated': 144, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",144.0,1.0,,
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,enum_uniform_random,4,ok,19.29788670700509,19.312733831990045,1.0,1.0,1.0,0.1,False,False,False,19.297876166005153,"[{'threshold': 0.1, 'n_candidates_enumerated': 144, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",144.0,1.0,,
