regime,n,seed,method,ari,exact,partition_exact,ica_runtime_sec,selection_runtime_sec,total_runtime_sec,cap_hit,timed_out,completed,selection_share,selection_over_ica,selection_dominates
unstable,10000,15,arbitrary_control,0.0,0.0,0.0,0.014715041033923626,3.166659735143185e-05,0.014746707631275058,False,False,True,0.0021473672729682937,0.002151988382392451,False
unstable,10000,15,enum_first_stable,0.3745743473325766,0.0,0.0,0.014715041033923626,60.00009058404248,60.014805625076406,False,True,True,0.9997548098193327,4077.466752944829,True
unstable,10000,15,enum_uniform_random,0.0,0.0,0.0,0.014715041033923626,60.00008362560766,60.01479866664158,False,True,True,0.999754809790904,4077.466280065765,True
unstable,10000,15,ours,0.3745743473325766,0.0,0.0,0.014715041033923626,6.808299804106355e-05,0.01478312403196469,False,False,True,0.004605454022698561,0.0046267623640401,False
unstable,10000,16,arbitrary_control,0.0,0.0,0.0,0.015248125011567026,3.039159346371889e-05,0.015278516605030745,False,False,True,0.0019891717402533617,0.00199313643091621,False
unstable,10000,16,enum_first_stable,1.0,1.0,1.0,0.015248125011567026,4.340301873977296,4.355549998988863,False,False,True,0.9964991505056521,284.64495606409315,True
unstable,10000,16,enum_uniform_random,1.0,1.0,1.0,0.015248125011567026,4.340316249546595,4.355564374558162,False,False,True,0.9964991620602293,284.6458988402894,True
unstable,10000,16,ours,1.0,1.0,1.0,0.015248125011567026,4.600000102072954e-05,0.015294125012587756,False,False,True,0.0030076909259515966,0.0030167644209261497,False
unstable,10000,17,arbitrary_control,0.006324110671936759,0.0,0.0,0.015352207992691547,3.538341261446476e-05,0.015387591405306012,False,False,True,0.0022994770060156206,0.0023047767872418816,False
unstable,10000,17,enum_first_stable,0.41193021947101854,0.0,0.0,0.015352207992691547,8.417767332983203,8.433119540975895,False,False,True,0.9981795339295149,548.3098807018835,True
unstable,10000,17,enum_uniform_random,0.4961522599353385,0.0,0.0,0.015352207992691547,8.417760800186079,8.43311300817877,False,False,True,0.9981795325192723,548.3094551737036,True
unstable,10000,17,ours,1.0,1.0,1.0,0.015352207992691547,3.57080134563148e-05,0.015387916006147861,False,False,True,0.0023205230287225735,0.0023259203805285652,False
unstable,10000,18,arbitrary_control,0.0,0.0,0.0,0.014281292038504034,2.9975012876093387e-05,0.014311267051380128,False,False,True,0.0020945044745847782,0.0020989006313488477,False
unstable,10000,18,enum_first_stable,0.7743467933491687,0.0,0.0,0.014281292038504034,60.00003654201282,60.014317834051326,False,True,True,0.9997620352516878,4201.303102005456,True
unstable,10000,18,enum_uniform_random,0.6679320707710598,0.0,0.0,0.014281292038504034,60.000047908187845,60.01432920022635,False,True,True,0.9997620352967562,4201.303897884078,True
unstable,10000,18,ours,0.7743467933491687,0.0,0.0,0.014281292038504034,6.212503649294376e-05,0.014343417074996978,False,False,True,0.004331257758741346,0.004350099159477126,False
unstable,10000,19,arbitrary_control,0.0,0.0,0.0,0.014836749993264675,3.058341098949313e-05,0.014867333404254168,False,False,True,0.002057087855495454,0.002061328188678575,False
unstable,10000,19,enum_first_stable,1.0,1.0,1.0,0.014836749993264675,53.429880833951756,53.44471758394502,False,False,True,0.9997223907120482,3601.1849534572534,True
unstable,10000,19,enum_uniform_random,0.4977205843540576,0.2,0.2,0.014836749993264675,53.429881499952174,53.44471824994544,False,False,True,0.9997223907155076,3601.1849983458187,True
unstable,10000,19,ours,1.0,1.0,1.0,0.014836749993264675,4.2625004425644875e-05,0.01487937499769032,False,False,True,0.0028647039564673534,0.0028729340620415535,False
unstable,10000,20,arbitrary_control,0.0,0.0,0.0,0.014943958027288318,3.500859020277858e-05,0.014978966617491096,False,False,True,0.002337183271501432,0.0023426584937438506,False
unstable,10000,20,enum_first_stable,,,,0.014943958027288318,60.00002408307046,60.014968041097745,False,True,False,0.9997509961512092,4015.0021817183774,True
unstable,10000,20,enum_uniform_random,,,,0.014943958027288318,60.000022574618924,60.01496653264621,False,True,False,0.9997509961449507,4015.0020807778146,True
unstable,10000,20,ours,1.0,1.0,1.0,0.014943958027288318,3.633397864177823e-05,0.014980292005930096,False,False,True,0.0024254519623112198,0.0024313490827149544,False
unstable,10000,21,arbitrary_control,0.0,0.0,0.0,0.018337166984565556,3.204998793080449e-05,0.018369216972496362,False,False,True,0.001744766147560449,0.0017478156771861789,False
unstable,10000,21,enum_first_stable,1.0,0.0,1.0,0.018337166984565556,8.651256665994879,8.669593832979444,False,False,True,0.9978848874194302,471.7880724583391,True
unstable,10000,21,enum_uniform_random,0.8009313154831199,0.4,0.4,0.018337166984565556,8.651262649183627,8.669599816168192,False,False,True,0.9978848888791421,471.78839874585964,True
unstable,10000,21,ours,1.0,1.0,1.0,0.018337166984565556,6.158399628475308e-05,0.01839875098085031,False,False,True,0.0033471835315805193,0.0033584247957489017,False
